⟦fkit-dashboard v2⟧
⟦BOARD⟧
| Status | # | Task | Filename | Owner | Next step |
|---|---|---|---|---|---|
| 🔲 Backlog | — | Add two worked examples to `evidence-before-assertion.md` — task 36, and the ADR-029/030 vault repair | [`0013-add-worked-example-to-evidence-before-assertion`](../tasks/backlog/0013-add-worked-example-to-evidence-before-assertion/brief.md) | fkit-producer | ⟨derive: none recorded⟩ |
| 🔲 Backlog | — | Extend `prove-red.sh` to reach `fkit-claude-init.sh` (add the missing test seam) | [`0037-extend-prove-red-to-reach-init`](../tasks/backlog/0037-extend-prove-red-to-reach-init/brief.md) | fkit-coder | ⟨derive: none recorded⟩ |
| 🔲 Backlog | — | Gate the read-side symlink hazard when init reads inside `ai-agents/` | [`0045-gate-read-side-symlink-hazard-in-init`](../tasks/backlog/0045-gate-read-side-symlink-hazard-in-init/brief.md) | fkit-coder | ⟨derive: none recorded⟩ |
| 🔲 Backlog | — | Design an observer-agent + notes-driven self-improvement (skill-tuning) system *(investigation/design — feasibility of Claude Code observer-agents + Microsoft SkillOpt; **auto-editing skills touches the behavioural contract — modification layer stays owner-gated**; design-first per owner; blocks the implementation tasks; owner: fkit-architect)* | [`0121-design-observer-agent-and-skill-tuning-system`](../tasks/backlog/0121-design-observer-agent-and-skill-tuning-system/brief.md) | fkit-architect | ⟨derive: nothing — the design can start now.⟩ |
| 🔲 Backlog | — | Add the dual-home scoping check to `/fkit-task-brief` *(ADR-027 §1 follow-up, never filed; a brief touching a dual-homed path must name both copies; independent; owner: fkit-coder)* | [`0131-add-dual-home-scoping-check-to-task-brief`](../tasks/backlog/0131-add-dual-home-scoping-check-to-task-brief/brief.md) | fkit-coder | ⟨derive: nothing. Independent of 0132 and 0133 — it prevents *future* drift where those two fix and detect *existing* drift.⟩ |
| 🚧 Blocked — sequenced behind `0408` (ADR-050's mover command); see the 2026-09-18 note in the Task cell | — | Add the sanctioned producer-only reconcile mode to `/fkit-task-done` — and mirror both ship-loops as one unit *(implements 0134's ADR; 4-file doctrine change; **must revisit the three ADR-033 carve-out sites** whose justification it invalidates; needs 0134 + 0124 — both hard; owner: fkit-coder; **⚠️ DATED NOTE 2026-08-06 — FILE COLLISION with `0229`, owner-accepted.** `0229` edits **the same file and the same step-1 branch** and was ruled to ship first — owner ruling, verbatim ***"Ship 0229 standalone."*** (`AskUserQuestion`, live `fkit lead` session, 2026-08-06). **Accepted tradeoff: two overlapping edits to one branch, and this task is the second.** Obligations: read what `0229` wrote, decide whether the wider mode **subsumes, keeps or replaces** it, and **record the answer in the worklog**; ⛔ do not silently overwrite it. Hard dependency on `0134` unchanged. **🚧 DATED NOTE 2026-09-18 — THIS TASK IS HELD, SEQUENCED BEHIND [`0408`](../tasks/backlog/0408-build-the-deterministic-mover-command-the-four-mover-skills-call/brief.md).** ⭐ **A producer decision** — `fkit-architect` raised the point and explicitly declined to decide it, calling it the producer's call. ⭐ **The argument, in one line: building this reconcile mode against prose movers means building it twice.** On 2026-09-18 the owner ruled ADR-050 (⛔ **selecting a pre-written option, typing no free text**) — **content option E**: an outcome verifier first, **then a real command the four mover skills call**, with judgement staying in the skill and only **mechanics** moving. **This task's entire deliverable is mechanics inside `SKILL.md` prose**, which is exactly the layer ADR-050 moves — so landing it first means writing the branch against prose and rewriting it when `0408` lands. ⛔ **Rejected alternatives: re-scope now** (the scope is ADR-048's, not the producer's to change, and `0408`'s shape is unknown until ADR-050 is signed) **and leave it `🔲 Backlog`** (it reads as pullable, and the next ship-loop could pay the build-it-twice cost). ⚠️⚠️ **THE BLOCK IS CONDITIONAL AND THE CHAIN IS LONG — stated plainly, not hidden: `0408` is itself NOT authorised to start**, both because ADR-050 is mid-signature and because it is hard-blocked behind `0407`. **ADR-050 signed → `0407` lands → `0408` lands → this task unblocks.** ⭐ **If ADR-050 is NOT accepted, or is accepted in a form that does not move mover mechanics out of prose, this block is VOID** and the row reverts to `🔲 Backlog` with its prior dependencies unchanged. ⛔ **This is NOT a cancellation** — `0134`'s ruling that the mode exists still stands, and ⛔ **no mover was run**: `🚧 Blocked` is settable by any session, only `✅ Done`/`⛔ Cancelled` are mover-gated. Both carriers updated in the same act — this row and the brief's `## Status`.)* | [`0135-add-producer-only-reconcile-mode-to-task-done`](../tasks/backlog/0135-add-producer-only-reconcile-mode-to-task-done/brief.md) | fkit-coder | ⟨derive: 0134 (the ADR — hard; the must-never list is the deliverable and it is not this task's to invent) and 0124 (which rewrites both movers' SKILL prose to producer-only; landing this first would collide in `fkit-task-done/SKILL.md` and `fkit-task-cancelled/SKILL.md`), and 0408 (added 2026-09-18 — ADR-050's mover command; building this mode against prose movers means building it twice. ⚠️ Conditional — this term is VOID if ADR-050 is not accepted in a form that moves mover mechanics out of prose. See the 2026-09-18 dated note at the end of this brief).⟩ |
| 🔲 Backlog | — | Record the "verify against the claim" convention — citation drift + incomplete inventories *(lifts two 0124 residuals into `conventions/`; thematic adjacency is the **expected signature** of citation drift; three blind-spot classes — path / phrasing / shorthand; new convention ⇒ **owner sign-off**; dual-homed; coordinates with 0138 + 0013; owner: fkit-coder)* | [`0137-record-verify-against-the-claim-convention`](../tasks/backlog/0137-record-verify-against-the-claim-convention/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Record the "a disproof carries the higher bar" convention *(a disproof is a **STOP** instruction, so a wrong one is worse than a missed finding; **must carry the escalating-against-the-reviewer half** or it teaches the wrong lesson; new convention ⇒ **owner sign-off**; dual-homed; coordinates with 0137; owner: fkit-coder)* | [`0138-record-disproof-carries-the-higher-bar-convention`](../tasks/backlog/0138-record-disproof-carries-the-higher-bar-convention/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Give the next lint a procedural reason to read `log.md`'s correction notes *(`0211`'s correction entry quotes **two old-form flag templates verbatim, nothing substituted**, and carries a ⚠️ note telling the next lint they are specimens and must not be "re-fixed" — but **verified on disk 2026-08-03, `claude/skills/fkit-wiki-lint/SKILL.md` never instructs a lint run to READ `log.md`**: every mention is a **write** (*"Log it. Append to …"*), an explicit **non**-input (*"`log.md` is not a signal … the completion signal is a flag in this report, and nothing else"*), or a rationale about not crying wolf on the log — **so the note's readership rests on practice, not procedure**; the same gap one level up: the owner's **2026-08-03 append-only ruling** (a run may NEVER edit or annotate a past `log.md` entry in place) lives only in briefs and in the log entry, **not in the lint skill**; ✅ **RULED by the owner 2026-08-03 — remedy A, give the lint a read step** (add a step to the lint skill honouring `log.md`'s do-not-fix notes; **B** — move the specimen exemptions somewhere lint already reads — **rejected**: needs a home that does not yet exist, and a second place the same fact lives can drift); ⚠️ **A overturns a deliberate stance, it does not fill a gap someone forgot** — the skill places `log.md` outside the input path **twice on purpose** (*"`log.md` is not a signal"*, which is scoped to **completion signalling**, not lint inputs; and *"Once it cries wolf on `log.md`, nobody reads it again"*, the rationale for never scanning it) — **both passages stay verbatim**, and the new step must reconcile with them **in the text**: **suppress-only** (a log note may withhold a flag, never raise one), bounded read of recent correction entries, no writes back; ⛔ do NOT edit `ai-agents/wiki-vault/` — the write surface is the **skill file**, and `0211`'s entry stays byte-identical, ⛔ do NOT "correct" any dated log entry (dated records, not stale claims), ⛔ do NOT broaden into a general lint-input redesign, ⛔ no `:NNN` citations; source: finding **R4** of `0211`'s round-1 stateful review, left open by design and named a producer call, filed by the producer spawned to close `0211`; owner: fkit-coder — a source file, not the vault, per prior art `0173`)* | [`0213-give-the-next-lint-a-procedural-reason-to-read-log-md-correction-notes`](../tasks/backlog/0213-give-the-next-lint-a-procedural-reason-to-read-log-md-correction-notes/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Decide where a real check on the wiki completion flag's **emitted form** can live *(**investigation + ruling, fix shape unknown** — not implementation; tasks 0125/0153 landed a **prescribed, verbatim** flag line, present and identical today in all three wiki SKILLs (`fkit-wiki-ingest/SKILL.md:72`, `fkit-wiki-sync/SKILL.md:116`, `fkit-wiki-lint/SKILL.md:81`) — **and it failed on its second live use**: `ai-agents/wiki-vault/log.md` §"Correction appended 2026-07-29 — the terminal flag line was emitted in a non-conforming form" records `0141`'s run emitting *"task 0141 ready to close…"*, **not the prescribed line**, with **all the required facts present** — the failure was **the form, not the content**; **⚠️ the plan-side account is NOT verifiable from disk** — neither `0126` nor `0141` left a `plan.md`, so *"the plan specified the non-conforming act"* and *"`0126` conformed only by luck of drafting"* are **testimony**, same honesty flag `0162` carries; **the decisive evidence is the consumer's own testimony** — a spawned `fkit-producer` asked whether it would have caught the deviation answered **"No. I would have acted on it without noticing"**, because it never opens the wiki SKILL during a close and matches on **the facts it needs, not string shape**, concluding *"on this run 'carried verbatim' was decorative, not a control"* and *"the party that caught the deviation is the party that specified it — self-correction, not independent verification"*; **⚠️ distinct from `0154` (P128), judged and not merged** — `0154` asserts the five strings are **in the three files**, and they were, so **`0154` would have been green for the entire duration of this failure**: it guards the **source**, nothing guards the **emission**; **distinct from `0158` (P122)** too — that asks *which wins*, this asks *whether a deviation is detected at all*; must rule **four candidate sites in or out by name** — consumer-side, a test, the plan gate, or **no mechanical check** (a legitimate outcome, to be argued not defaulted to); must say **what "verbatim" means modulo the `<NNNN>`/`<slug>` slots**, and whether the obligation sits on the right party (the SKILL states it on the **caller who summarizes**, the failure was in the **emitter**); **report-only — files no briefs, names its follow-ups**; **appended under `/fkit-task-brief` step 5, flagged for owner confirmation**; independent; owner: fkit-architect)* | [`0165-decide-where-a-check-on-the-wiki-flags-emitted-form-can-live`](../tasks/backlog/0165-decide-where-a-check-on-the-wiki-flags-emitted-form-can-live/brief.md) | fkit-architect | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Pin the `team` / `team room` rejection with launcher-contract CLI tests *(**0139's standing residual, re-raise-triggered by 0140's close**; `rc=2` + **`claude` never exec'd** — the exit code alone would have passed while the real 0139 bug shipped; needs **no new harness**; adds a 3rd `prove-red.sh` mutation; independent; owner: fkit-coder)* | [`0144-pin-the-team-team-room-rejection-with-cli-contract-tests`](../tasks/backlog/0144-pin-the-team-team-room-rejection-with-cli-contract-tests/brief.md) | fkit-coder | ⟨derive: nothing — 0139 and 0140 are both closed and the launcher already behaves correctly. This task pins existing behavior; it does not change any.⟩ |
| 🔲 Backlog | — | Give the launcher-contract suite a pty, and pin the menu picks 1-7 *(**partly reverses a recorded acceptance** — `architecture.md` §9.1 ("a real menu on a tty — those edges stay manual") says the tty menu stays manual; needs **new pty infrastructure** — `runFkit` is detached by design and must not change; **two documented false-result traps**; portability is an owner decision if it bites; independent; owner: fkit-coder)* | [`0145-pty-driven-menu-pick-coverage-for-the-launcher`](../tasks/backlog/0145-pty-driven-menu-pick-coverage-for-the-launcher/brief.md) | fkit-coder | ⟨derive: nothing — the launcher behavior is already correct and closed (0139, 0140).⟩ |
| 🔲 Backlog | — | Guard test for the `SKILL.md` H1 house style — no skill may use the owner banner as its title *(0120 follow-up; **skill-file content is an entirely untested surface** — **no test in the repo reads any `SKILL.md`'s content**; **25** files, not 26: before 0120, 24 descriptive + **1 sole outlier**, after it 25/25, so the guard is green day one with **nothing grandfathered**; ADR-014 zero devDeps ⇒ hand-rolled; **⚠️ must reuse 0136's (114) `SKILL.md` walk, never add a second**; **low severity** — the original defect was cosmetic and the ADR-018 hook keys off `skills_for_role()`, not banner text; the coder's refusal to fold this into 0120 was correct; owner: fkit-coder)* | [`0152-guard-test-for-skill-md-h1-house-style`](../tasks/backlog/0152-guard-test-for-skill-md-h1-house-style/brief.md) | fkit-coder | ⟨derive: nothing hard. Soft-follows 0136 (priority 114) for the shared `SKILL.md` walk; see the ordering warning above. Also soft-follows 0120, which closed 2026-07-26 as `✅ Done (agent-closed — not owner-verified)` — the tree must be clean of the outlier before the guard can go green with no skip list, and as of that close it is (the H1 fix is in the working tree, uncommitted).⟩ |
| 🔲 Backlog | — | Record that 0118's block on 0117 was discharged by another route *(0118's brief `:84` still predicts "the amendment lands before 0117 runs" — **0117 shipped first** under an owner ruling with a staleness pointer standing in; architect ruled **record the discharge, do not delete the line** — a stale claim that already cost a three-day silent block is history worth keeping visible; edits a brief in `done/`; **must preserve the canonical `- **Blocks:**` form** or `dashboard.sh` reads UNPARSEABLE; owner: fkit-producer)* | [`0149-record-that-0118s-block-on-0117-was-discharged-by-another-route`](../tasks/backlog/0149-record-that-0118s-block-on-0117-was-discharged-by-another-route/brief.md) | fkit-producer | ⟨derive: nothing. Both 0117 and 0118 are closed.⟩ |
| 🔲 Backlog | — | Backfill the missing `## Priority` field into the six briefs that lack it *(a **full sweep** found **6 of 154** briefs (≈4%) with the heading absent entirely — 0122–0126 and 0136, not just the two noticed incidentally; `fkit-sprint-ship-loop:81` orders eligible tasks by the **brief's `## Priority` field**, so a brief without it is **invisible to the driver's own ordering rule**, and two of the six are live sprint rows at **P109** and **P114**; **no mis-ordering is in flight** — the driver falls back to the board cell and the cell agrees — so this is a conformance fix on a live rule, not an outage; 6 one-line inserts, values already known; touches four `✅ Done` briefs deliberately, because they are live P105–P108 rows the 0156 guard would otherwise fire on; **0105's shape**; blocks 0156 — hard; owner: fkit-coder)* | [`0155-backfill-the-missing-priority-field-into-six-briefs`](../tasks/backlog/0155-backfill-the-missing-priority-field-into-six-briefs/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Make `## Priority` a required brief field — **nothing enforces it today** *(all three candidate sites checked 2026-07-27: `/fkit-task-brief`'s skeleton lists the field but its mandatory-field callouts name **only** `## Status` and `## Owner`; `dashboard.sh` has **no** `brief-missing-priority` kind — only `-id`, `-status`, `-owner` — and renders 0126/0136 with **zero** drift when run; **no test asserts presence**, `grep -rn "missing-priority" test/ claude/` returns nothing; **not an architect call** — the three-site pattern was walked end-to-end for `## Owner` by **0104 + 0105** this same sprint, so this is 0104's shape with no novel design; `Unscheduled` counts as **present** per the approved convention; ⚠️ existing raw test fixtures will trip it — use the `:62` default-injection precedent, **never a skip list**; brief-vs-board comparison **explicitly out of scope**; ADR-014 zero devDeps; **low severity** — ≈4% incidence, currently harmless, same class as 0152; needs 0155 — hard; owner: fkit-coder)* | [`0156-make-priority-a-required-brief-field-with-a-guard`](../tasks/backlog/0156-make-priority-a-required-brief-field-with-a-guard/brief.md) | fkit-coder | ⟨derive: 0155 — hard.⟩ |
| 🔲 Backlog | — | Name the defective-marker refusal case in `fkit-coder.md` *(found by a spawned `fkit-producer` at `0150`'s close, testing the clause `0150` had just landed against the two failures it was exercised on — verdict **"inferable, yes; stated, no"**; condition **(b)** now requires `verbatim` and the marker is framed as **all** of (a)(b)(c) granting the write permission *"only under"* it, so a worker **reasoning from the conjunction** refuses a by-reference carry — but the refusal clause at `claude/agents/fkit-coder.md:98-100` enumerates **exactly two** cases, *"any other spawned 'implement this'"* and *"this loop's own **plan-only** spawn"*, and **neither of them is "a genuine sprint-loop spawn whose marker is defective"** — the named failure is *no* approved plan, not a plan carried by reference, so a worker pattern-matching on the examples rather than the *"all of"* can conclude a real driver's defective carry is still inside the carve-out; **there is no clause anywhere of the form "if the plan is not carried verbatim, refuse / return `NEEDS-DECISION` and ask the driver to re-send it"** — verified 2026-07-29 across both files, and this is **the gap that let both driver defects through**; **⚠️ edits the same guarantee surface `0150` just closed** — read `0150`'s [review ledger](../tasks/done/0150-add-verbatim-to-fkit-coder-declared-approval-marker/review.md) accepted-residuals section first and leave condition (b) **byte-identical**; **key the clause on the marker's conditions, not on a restated test**, so a later (b) change cannot silently diverge; unenforced prose — **no test in `test/` reads `fkit-coder.md` content** (`0147`'s C8c/C8d guards were never landed), **do not add a guard**, 0152/0154 own that walk; soft-coupled to 0162 in one direction only and **does not wait for it**; recommend co-landing with 0164 — same untested file, non-overlapping regions; owner: fkit-coder)* | [`0163-name-the-defective-marker-refusal-case-in-fkit-coder`](../tasks/backlog/0163-name-the-defective-marker-refusal-case-in-fkit-coder/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
